Name,R1.Ratio,R2.Ratio,R3.Ratio,R4.Ratio,R5.Ratio,R6.Ratio,R7.Ratio
YNL301C RP28B,0.217591435,-0.124328135,0.251538767,-0.298658316,-0.545968369,-1.89917563,-2.482848283
YNL303W,-0.389566812,-0.748461233,-0.344828497,-0.613531653,-1.111031312,-2.56315813,-2.495695163
YNL305C,-0.124328135,0.104697379,0.49410907,0.13606155,0.888968688,2.395928676,1.120294234
YNR001C CIT1,0.184424571,0.454031631,0.64385619,0.713118852,1.217591435,2.64385619,3.184424571
YAL054C ACS1,-0.669026766,-0.189033824,0,-0.189033824,-0.298658316,1.473931188,3.64385619
YNR053C,0.200912694,0.415037499,0.286304185,-0.495695163,-0.59454855,-1.739848103,-2.3950628
YOL120C RP28A,0.268816758,-0.084064265,0.395928676,-0.163498732,-0.59454855,-1.807354922,-2.416839742
YOL032W,-0.070389328,-0.028569152,0.286304185,0.184424571,0.089267338,2.556393349,1.689659879
YOL039W RPLA2,0.074000581,-0.028569152,0.104697379,0,0,-0.163498732,-2.301587647
YOL040C RPS21,0.104697379,0.058893689,-0.137503524,-0.411426246,-0.555816155,-1.531069493,-2.655351829
YOL053C DDR2,-0.111031312,-0.163498732,0.089267338,0.888968688,0.915935735,2.556393349,1.785875195
YOL084W,-0.310340121,0.120294234,0.434402824,0,-0.070389328,1.321928095,2.64385619
YOR065W CYT1,0.168122759,0.104697379,0.321928095,0.286304185,0.943416472,1.689659879,2.395928676
YOR178C GAC1,-0.189033824,-0.070389328,0.473931188,0.268816758,0.13606155,2.321928095,2.058893689
YOR215C,0.074000581,0,0.377069649,0.785875195,0.943416472,3.473931188,2.836501268
YOR234C RPL37B,0.074000581,0.074000581,-0.124328135,-0.367371066,-0.485426827,-1.695993813,-2.301587647
YOR309C,0.200912694,0.029146346,0.234465254,-0.641546029,-0.378511623,-2.097610797,-2.963474124
YOR310C,0.152003093,-0.014355293,0.340075442,-0.604071324,-0.641546029,-1.819668183,-3.09592442
YCL025C,0,-0.028569152,0.434402824,0.043943348,0.64385619,0.666576266,2.473931188
YOR312C RPL18B,0.234465254,-0.014355293,0.251538767,-0.422233001,-0.454175893,-1.516015147,-2.531069493
YOR374W,0,0.49410907,0.340075442,1,1.321928095,2.473931188,2.473931188
YPL012W,0.089267338,-0.275007047,-0.150559677,-1.176322773,-1.584962501,-2.956056652,-3.075532631
YCL035C,0.029146346,0.321928095,0.535331733,0.666576266,0.268816758,2.556393349,1.514573173
YPL131W RPL1,0.058893689,0.089267338,0.152003093,-0.82374936,-0.22650853,-1.655351829,-2.533563348
YPL220W SSM1A,0.043943348,-0.014355293,0.395928676,-0.35614381,-0.042644337,-1.604071324,-2.767654798
YPL226W,0.043943348,0.074000581,-0.097610797,-0.839959587,-1.176322773,-1.887525271,-2.456806149
YPR137W,0.074000581,-0.176322773,-0.201633861,-0.887525271,-0.918386234,-1.695993813,-2.95419631
YPR149W NCE2,0.152003093,0.120294234,0.395928676,0.810966176,0.915935735,2.058893689,2.321928095
YPR184W GDE,-0.23878686,-0.084064265,-0.275007047,0.200912694,0.556393349,1.514573173,2.64385619
YDL215C GDH2,-0.070389328,0.043943348,0.043943348,-0.464668267,-0.056583528,0.304006187,2.321928095
YDR258C HSP78,-0.214124805,-0.084064265,-0.263034406,0.666576266,0.915935735,2.184424571,2.473931188
YCR010C,-0.485426827,-0.367371066,0.234465254,-0.367371066,-0.422233001,0.535331733,2.64385619
YCR021c HSP30,-0.790772038,0.01449957,1.888968688,1.556393349,0.862496476,3.64385619,3.321928095
YDL083C,0.104697379,-0.286881148,-0.189033824,-0.650764559,-0.799087306,-1.176322773,-2.40053793
YDL085w,-0.111031312,1,0.058893689,-0.124328135,-0.275007047,2.058893689,2.836501268
YDL136w,-0.070389328,-0.014355293,-0.042644337,-0.367371066,-0.214124805,-1.550900665,-2.56315813
YDL199c,-0.042644337,0.49410907,0.415037499,0.184424571,-0.344828497,1.736965594,2.321928095
YDL204w,-0.367371066,0.915935735,-0.50589093,0.268816758,0.089267338,4.058893689,3.058893689
YDL208W NHP2,0.043943348,-0.150559677,0.043943348,-0.575312331,-0.485426827,-2.14404637,-2.63691458
